0,1,2,3
Senin - Minggu (11:00 - 22:00),"Authentic Shabu-shabu & Sukiyaki
Est. 1993 in Kabukicho, Tokyo",021 45853709,"4.8,4.6,4.9,4.7,4.6"
"Senin - Kamis (11:00 - 24:00), Jumat - Sabtu (11:00 - 02:00), Minggu (11:00 - 24:00)",,082217817880,"4.7,4.8,3.9,4.8,4.7"
"Senin - Sabtu (11:30 - 14:30, 18:00 - 23:00), Minggu (18:00 - 21:00)",,08119250020,"4.5,4.8,4.0,4.6,4.5"
Senin - Minggu (11:00 - 21:00),,021 5153300,"4.6,4.5,4.1,4.5,4.5"
"Senin - Jumat (11:00 - 21:00), Sabtu - Minggu (10:00 - 21:00)",,021 56985157,"4.7,4.4,4.1,4.7,4.5"
Senin - Minggu (10:00 - 21:00),,0818625755,"4.6,4.1,4.4,4.7,4.7"
Senin - Minggu (11:00 - 22:00),,081290109624,"4.7,4.3,4.2,4.2,4.3"
Senin - Minggu (11:00 - 20:00),,031 5630403,"4.3,4.9,4.2,4.5,4.6"
Senin - Minggu (11:00 - 22:00),,08118886967,"4.7,4.4,4.4,4.7,4.5"
Senin - Minggu (10:00 - 21:00),,021 29889625,"4.5,4.4,4.3,4.5,4.4"
Senin - Minggu (10:00 - 21:00),,021 7692357,"4.5,4.4,4.3,4.5,4.4"
Senin - Minggu (10:00 - 20:00),,021 22850588,"4.8,4.7,4.6,4.6,4.4"
"Senin - Jumat (09:00 - 21:00), Sabtu - Minggu (08:00 - 21:00)",,087777223000,"4.5,4.5,4.4,4.3,4.5"
Senin - Minggu (12:00 - 21:00),,021 29922448,"4.6,5.0,4.3,4.5,4.7"
Senin - Minggu (07:00 - 22:00),,083825207576,"4.6,4.6,4.3,4.5,4.5"
Senin - Minggu (11:00 - 21:00),,031 5464055,"4.8,4.8,3.8,4.8,4.7"
"Senin - Jumat (11:30 - 13:30, 17:30 - 20:30), Sabtu - Minggu (11:00 - 20:30)",,021 29263561,"4.7,4.2,4.2,3.9,4.4"
Senin - Minggu (10:00 - 22:00),,021 29579992,"4.7,4.4,4.6,4.6,4.6"
Senin - Minggu (11:00 - 21:00),,081316070950,"4.9,4.6,4.6,4.8,4.6"
Senin - Minggu (10:00 - 21:00),,081322073624,"4.6,4.3,4.4,4.6,4.7"
Senin - Minggu (10:00 - 21:00),,021 29888895,"4.6,4.1,4.3,4.8,4.4"
Senin - Minggu (10:00 - 22:00),,08179851258,"4.6,3.8,4.2,4.7,4.6"
Senin - Minggu (09:00 - 23:00),"Leisola by Aljazeerah is an modern Indonesian restaurant manage by Aljazeerah Restaurant & Lounge. The team behind this restaurant embarked on an exotic culinary expedition, traveling across the archipelago to learn about the indigenous cooking methods, originally ingredients, and the authentic flavours of the cuisines.

The culinary collective also developed engaging relationships with many local taste tribes by small scale producers around Indonesia. And also we take so...me of International cuisine like Italian food, Steak house, and French Pastries for serving our International guest based on our sustain market which is already running before in Aljazeerah Restaurant & Lounge. As a result of these efforts, both the menu and ambience at Leisola by Aljazeerah will genuine the flavours that accurately reflect Indonesia’s Fusion Taste.  selengkapnya",081210446644,"4.5,4.4,4.0,4.7,4.6"
"Selasa - Sabtu (18:00 - 21:00), Senin dan Minggu Tutup",,021 29054084,"4.4,4.5,4.4,4.6,4.7"
Senin - Minggu (06:00 - 22:00),,031 99148377,"4.4,4.7,4.0,4.3,4.4"
Senin - Minggu (11:00 - 21:00),,021 29023398,"4.6,4.3,4.0,4.4,4.3"
Senin - Minggu (09:00 - 21:00),,08119216869,"4.3,4.6,3.9,4.6,4.5"
"Senin - Kamis (08:00 - 23:00), Jumat (13:00 - 23:00), Sabtu - Minggu (08:00 - 23:00)",,021 75904015,"4.4,4.3,4.3,4.1,4.1"
"Senin - Minggu (11:00 - 12:30, 18:00 - 23:00)",,021 29703333,"4.5,4.9,3.9,4.6,4.8"
Senin - Minggu (07:00 - 21:00),,081288483640,"4.6,4.1,4.9,4.7,4.4"
Senin - Minggu (12:00 - 21:00),,087772646253,"4.5,4.6,3.7,4.4,4.7"
Senin - Minggu (08:00 - 21:00),,087885944244,"4.6,4.5,4.2,4.3,4.5"
Senin - Minggu (10:00 - 21:00),,082125574241,"4.2,4.7,4.0,4.3,4.3"
Senin - Minggu (10:00 - 21:00),,031 5468349,"4.9,4.4,4.6,4.4,4.8"
Senin - Minggu (06:00 - 23:00),"The famous Le Gran Café will tease your palate with an array of superb International buffet choices and an extensive a la carte menu featuring traditional Indonesian specialties as well as Western, Asian and Japanese cuisine.",021 7209966,"4.5,4.5,3.9,4.7,4.5"
"Senin - Jumat (10:00 - 21:00), Sabtu - Minggu (07:00 - 21:00)",,081382226779,"4.1,4.6,4.0,4.8,4.7"
Senin - Minggu (07:00 - 21:00),,021 22929497,"4.4,4.3,4.2,4.6,4.4"
"Senin - Jumat (10:00 - 22:00), Sabtu - Minggu (09:00 - 22:00)",,081999718181,"4.4,4.5,4.2,4.5,4.5"
Senin - Minggu (10:00 - 22:00),,031 5314205,"4.5,4.4,4.2,4.4,4.3"
"Senin - Kamis (11:00 - 20:00), Jumat - Sabtu (11:00 - 21:00), Minggu (11:00 - 20:00)",,021 72782250,"4.5,4.5,3.8,4.4,4.5"
Senin - Minggu (10:00 - 21:00),,081296166723,"4.6,4.6,4.0,4.5,4.4"
Senin - Minggu (10:00 - 22:00),,082178492921,"4.4,4.5,4.4,4.5,4.5"
"Selasa - Jumat (10:30 - 15:00, 17:00 - 21:00), Sabtu (10:30 - 21:00), Minggu (08:00 - 21:00), Senin Tutup",,021 22035818,"4.3,4.5,4.1,4.1,4.4"
Senin - Minggu (08:00 - 18:00),,021 22575041,"4.4,4.2,4.3,4.2,4.4"
Senin - Minggu (07:00 - 21:00),,022 87805386,"4.5,4.3,4.1,4.1,4.2"
Senin - Minggu (10:00 - 22:00),,021 29924259,"4.6,4.9,4.1,4.3,4.5"
Senin - Minggu (10:00 - 22:00),,031 5347677,"4.6,4.3,4.1,4.3,4.4"
"Senin - Jumat (10:00 - 20:00), Sabtu - Minggu (08:00 - 20:00)",,08111088321,"4.4,4.5,3.9,4.6,4.5"
Senin - Minggu (07:00 - 21:00),,021 80821640,"4.1,4.5,4.0,4.2,4.3"
"Selasa - Minggu (08:00 - 21:00), Senin Tutup",,083837310240,"4.3,4.7,3.9,4.5,4.5"
"Senin - Kamis (11:00 - 20:00), Jumat - Sabtu (11:00 - 21:00), Minggu (11:00 - 20:00)",,021 72781516,"4.2,4.7,3.7,4.4,4.4"
"Senin - Sabtu (10:00 - 20:30), Minggu Tutup",,021 5717201,"4.5,4.4,4.1,4.4,4.3"
"Senin - Jumat (11:30 - 14:30, 18:00 - 23:00), Sabtu - Minggu (18:00 - 23:00)",,021 2505064,"4.6,4.9,3.6,4.7,4.5"
Senin - Minggu (10:00 - 21:00),,081314703535,"4.6,4.4,4.5,4.7,4.6"
"Senin - Sabtu (12:00 - 14:30, 18:00 - 22:30), Minggu (11:00 - 14:30, 18:00 - 22:30)",,021 5753274,"4.6,4.5,4.4,4.6,4.6"
Senin - Minggu (11:00 - 22:00),,081287620750,"4.3,4.8,3.7,4.4,4.6"
Senin - Minggu (08:00 - 01:00),,021 29880942,"4.2,4.8,4.3,4.3,4.4"
"Senin - Jumat (11:00 - 14:00, 17:00 - 22:00), Sabtu - Minggu (11:00 - 22:00)",,021 82732151,"4.9,3.9,4.7,4.3,4.2"
Senin - Minggu (11:00 - 21:00),,021 27085851,"4.5,4.4,3.9,4.8,4.5"
Senin - Minggu (08:30 - 21:00),Artisan coffee shop with Japanese style ambience and cooking,021 24520517,"4.2,4.4,3.8,4.4,4.4"
Senin - Minggu (11:30 - 21:00),,021 5724050,"4.4,4.2,4.1,4.1,4.4"
Senin - Minggu (10:00 - 21:00),,021 29475221,"4.4,4.1,4.0,4.7,4.4"
Senin - Minggu (07:00 - 21:00),,087781137068,"4.4,4.5,3.8,4.3,4.3"
"Senin - Minggu (12:00 - 15:00, 18:00 - 21:00)","AOKI Japanese Cuisine has been reputed as one of the most stylish dining venues in the city. With a modern and private dining concept, AOKI serves fusion and authentic Japanese cuisine that will leave your senses completely amazed.",021 7209966,"4.3,4.6,3.7,4.8,4.7"
Senin - Minggu (10:00 - 22:00),,021 8848563,"5.0,4.3,4.5,4.6,4.8"
Senin - Minggu (09:00 - 21:00),,022 20512779,"4.2,4.5,3.9,4.0,4.2"
Senin - Minggu (12:00 - 21:00),,021 29922448,"4.3,4.6,3.6,4.1,4.4"
"Selasa - Minggu (12:00 - 21:00), Senin Tutup",,081219553727,"4.4,4.4,4.0,4.4,4.7"
Senin - Minggu (07:00 - 22:00),,022 2033613,"4.2,4.6,3.8,4.2,4.3"
"Senin - Jumat (07:00 - 22:00), Sabtu - Minggu (07:00 - 24:00)",,082133593698,"4.7,5.0,4.3,5.0,4.8"
Senin - Minggu (10:00 - 21:00),,021 29889627,"4.5,4.2,4.3,4.7,4.6"
Senin - Minggu (09:00 - 18:00),,021 22677499,"4.3,4.4,4.1,4.4,4.3"
"Senin - Kamis (12:00 - 21:00), Jumat - Minggu (12:00 - 24:00)","Serving delightful drinks, Asian fusion bites and the best view on the highest level at PIK!
(Restoran tertinggi di PIK)",082388688688,"4.3,4.5,3.9,4.4,4.2"
"Senin - Kamis (09:00 - 22:00), Jumat - Minggu (09:00 - 23:00)",,08210207585,"4.2,4.7,4.2,4.3,4.3"
"Senin - Kamis (17:00 - 23:00), Jumat - Sabtu (17:00 - 24:00), Minggu (17:00 - 23:00)",,021 23586996,"4.1,4.8,3.4,4.4,4.5"
"Senin - Selasa (11:00 - 19:00), Kamis - Minggu (11:00 - 19:00), Rabu Tutup",,0895366480653,"4.2,4.4,4.0,4.3,4.5"
"Senin - Minggu (11:30 - 14:30, 18:00 - 22:30)",,021 29938888,"4.4,4.5,3.7,4.3,4.4"
Senin - Minggu (07:00 - 21:00),,022 20524850,"4.2,4.4,3.8,4.1,4.3"
Senin - Minggu (07:00 - 22:00),,022 2030333,"4.5,4.8,3.9,4.4,4.5"
Senin - Minggu (10:00 - 21:00),,0251 8572759,"4.5,4.6,4.0,4.4,4.3"
"Senin - Minggu (05:30 - 10:30, 12:00 - 15:00, 18:00 - 23:00) ",,021 31921111,"4.3,4.5,3.6,4.6,4.5"
Senin - Minggu (10:00 - 21:00),,0251 7568737,"4.4,4.5,4.2,4.3,4.3"
Senin - Minggu (09:00 - 22:00),,081556533550,"4.6,4.1,4.3,4.2,4.4"
