name,culinary_type,address,link,is_branch,payment_methods,description,price_range,open_schedule,available_facilities,unavailable_facilities,phone,overall_rating,individual_rating,seating_capacity
Momo Paradise,Jepang,"Mal Kelapa Gading 5, Lantai Ground, Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",https://pergikuliner.com/restaurants/jakarta/momo-paradise-kelapa-gading,True,"Tunai,Visa,Master,Debet","Authentic Shabu-shabu & Sukiyaki
Est. 1993 in Kabukicho, Tokyo","
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (11:00 - 22:00),"100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",021 45853709,4.71,"4.8,4.6,4.9,4.7,4.6",
Caspar,Spanyol,"Sudirman Suites Apartment Jakarta, Lantai Ground, Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/caspar-sudirman,False,"Tunai,Debet",,"
                  Di atas Rp. 200.000 /orang
                ","Senin - Kamis (11:00 - 24:00), Jumat - Sabtu (11:00 - 02:00), Minggu (11:00 - 24:00)","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,Ruang VIP,Vegetarian",082217817880,4.58,"4.7,4.8,3.9,4.8,4.7",
Furusato Izakaya,Jepang,"Sudirman Suites Apartment Jakarta, Lantai Ground, Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/furusato-izakaya-sudirman,False,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ","Senin - Sabtu (11:30 - 14:30, 18:00 - 23:00), Minggu (18:00 - 21:00)","Wifi,Area merokok,Area outdoor,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Vegetarian",08119250020,4.47,"4.5,4.8,4.0,4.6,4.5",
Osteria Gia,Italia,"Pacific Place Mall, Lantai Ground, East Lobby, Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/osteria-gia-scbd,True,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (11:00 - 21:00),"Wifi,Area merokok,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Ruang VIP,Vegetarian",021 5153300,4.45,"4.6,4.5,4.1,4.5,4.5",
Isshin,Jepang,"Central Park, Lantai Lower Ground, Jl. Letjen S. Parman, Slipi, Jakarta Barat",https://pergikuliner.com/restaurants/jakarta/isshin-slipi,True,"Tunai,Visa,Master,Debet,Go-pay",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","Senin - Jumat (11:00 - 21:00), Sabtu - Minggu (10:00 - 21:00)","Wifi,100% Halal,Bisa reservasi,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 56985157,4.46,"4.7,4.4,4.1,4.7,4.5",
Maison Tremel,Dessert,"Pondok Indah Mall 2, Lantai 3, Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/maison-tremel-pondok-indah,True,"Tunai,Go-pay,Ovo,Dana",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",0818625755,4.5,"4.6,4.1,4.4,4.7,4.7",
WAKI Japanese BBQ Dining,Jepang,"Jl. Tanjung Karang No. 5 (Lantai 1), Thamrin, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/waki-japanese-bbq-dining-thamrin,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (11:00 - 22:00),"Wifi,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",081290109624,4.33,"4.7,4.3,4.2,4.2,4.3",
Hibara Ramen,Jepang,"Jl. Panglima Polim V No. 9, Panglima Polim, Kebayoran Baru, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/hibara-ramen-panglima-polim,False,"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (11:00 - 20:00),"Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",031 5630403,4.54,"4.3,4.9,4.2,4.5,4.6",Kapasitas:  80 kursi
Onni House,Kafe,"Jl. Opak No. 56, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/onni-house-wonokromo,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (11:00 - 22:00),"Wifi,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Pesan antar,Area merokok,24 Jam,Alkohol,Vegetarian",08118886967,4.51,"4.7,4.4,4.4,4.7,4.5",
Momo Paradise,Jepang,"Plaza Indonesia, Lantai 5, Jl. MH Thamrin, Thamrin, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/momo-paradise-thamrin,True,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"Wifi,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",021 29889625,4.53,"4.5,4.4,4.3,4.5,4.4",
