0,1,2,3,4,5,6,7,8,9,10,11,12,13
Momo Paradise,Tipe KulinerJepang,"
                  Mal Kelapa Gading 5, Lantai Ground
                  Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara
                ",https://pergikuliner.com/restaurants/jakarta/momo-paradise-kelapa-gading,Cabang: ya,"""Tunai,Visa,Master,Debet""","<bound method PageElement.get_text of <div class=""promotional-text"">Authentic Shabu-shabu &amp; Sukiyaki
Est. 1993 in Kabukicho, Tokyo</div>>","
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 22:00)</time>>","100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",021 45853709,4.71,"4.9,4.5,4.9,4.7,4.6"
Caspar,Tipe KulinerSpanyol,"
                  Sudirman Suites Apartment Jakarta, Lantai Ground
                  Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat
                ",https://pergikuliner.com/restaurants/jakarta/caspar-sudirman,"PembayaranTunai, Debet","""Tunai,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Kamis (11:00 - 24:00), Jumat - Sabtu (11:00 - 02:00), Minggu (11:00 - 24:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,Ruang VIP,Vegetarian",082217817880,4.58,"4.7,4.8,4.8,4.7"
Furusato Izakaya,Tipe KulinerJepang,"
                  Sudirman Suites Apartment Jakarta, Lantai Ground
                  Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat
                ",https://pergikuliner.com/restaurants/jakarta/furusato-izakaya-sudirman,"PembayaranTunai, Visa, Master, Debet","""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Sabtu (11:30 - 14:30, 18:00 - 23:00), Minggu (18:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Vegetarian",08119250020,4.47,"4.5,4.8,4.0,4.6,4.5"
Osteria Gia,Tipe KulinerItalia,"
                  Pacific Place Mall, Lantai Ground, East Lobby
                  Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/osteria-gia-scbd,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 21:00)</time>>","Wifi,Area merokok,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Ruang VIP,Vegetarian",021 5153300,4.45,"4.6,4.5,4.1,4.5,4.5"
Isshin,Tipe KulinerJepang,"
                  Central Park, Lantai Lower Ground
                  Jl. Letjen S. Parman, Slipi, Jakarta Barat
                ",https://pergikuliner.com/restaurants/jakarta/isshin-slipi,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Jumat (11:00 - 21:00), Sabtu - Minggu (10:00 - 21:00)</time>>","Wifi,100% Halal,Bisa reservasi,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 56985157,4.46,"4.7,4.4,4.1,4.7,4.5"
Maison Tremel,Tipe KulinerDessert,"
                  Pondok Indah Mall 2, Lantai 3
                  Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/maison-tremel-pondok-indah,Cabang: ya,"""Tunai,Go-pay,Ovo,Dana""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",0818625755,4.5,"4.7,4.1,4.4,4.7,4.7"
WAKI Japanese BBQ Dining,Tipe KulinerJepang,"
                  
                  Jl. Tanjung Karang No. 5 (Lantai 1), Thamrin, Jakarta Pusat
                ",https://pergikuliner.com/restaurants/jakarta/waki-japanese-bbq-dining-thamrin,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 22:00)</time>>","Wifi,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",081290109624,4.33,"4.7,4.3,4.2,4.2,4.3"
Hibara Ramen,Tipe KulinerJepang,"
                  
                  Jl. Panglima Polim V No. 9, Panglima Polim, Kebayoran Baru, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/hibara-ramen-panglima-polim,Kapasitas:  80 kursi,"""Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (08:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",087885944244,4.54,"4.7,4.6,4.4,4.4,4.6"
Onni House,Tipe KulinerKafe,"
                  
                  Jl. Opak No. 56, Wonokromo, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/onni-house-wonokromo,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 20:00)</time>>","Wifi,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Pesan antar,Area merokok,24 Jam,Alkohol,Vegetarian",031 5630403,4.51,"4.3,4.9,4.2,4.5,4.6"
Momo Paradise,Tipe KulinerJepang,"
                  Plaza Indonesia, Lantai 5
                  Jl. MH Thamrin, Thamrin, Jakarta Pusat
                ",https://pergikuliner.com/restaurants/jakarta/momo-paradise-thamrin,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 22:00)</time>>","Wifi,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",08118886967,4.53,"4.7,4.4,4.4,4.7,4.5"
The Social Pot,"Tipe KulinerJepang,Thailand","
                  Lotte Shopping Avenue, Lantai 3
                  Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/the-social-pot-karet-kuningan,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","Wifi,100% Halal,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Vegetarian",021 29889625,4.41,"4.5,4.4,4.3,4.5,4.4"
The Social Pot,"Tipe KulinerJepang,Thailand","
                  Pondok Indah Mall 1, Lantai 2
                  Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/the-social-pot-pondok-indah,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","Wifi,100% Halal,Bisa reservasi,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 7692357,4.41,"4.5,4.4,4.3,4.5,4.4"
Aljazeerah Restaurant & Function Hall - Polonia,Tipe KulinerArab/Timur Tengah,"
                  
                  Jl. Cipinang Cempedak I No. 29, Jatinegara, Jakarta Timur
                ",https://pergikuliner.com/restaurants/jakarta/aljazeerah-restaurant-dan-function-hall-polonia-jatinegara,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 20:00)</time>>","Wifi,Pesan antar,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","24 Jam,Alkohol,Vegetarian",021 22850588,4.62,"4.8,4.7,4.6,4.6,4.4"
Oyster Dealer,"Jam Buka
Senin - Jumat (09:00 - 21:00), Sabtu - Minggu (08:00 - 21:00)

Buka

","
                  Cove at Batavia PIK
                  Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara
                ",https://pergikuliner.com/restaurants/jakarta/oyster-dealer-pantai-indah-kapuk,"PembayaranTunai, Visa, Master, Debet, Go-pay, Ovo, Dana","""Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Jumat (09:00 - 21:00), Sabtu - Minggu (08:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Ruang VIP,Bisa reservasi,Vegetarian",087777223000,4.44,"4.5,4.5,4.4,4.3,4.5"
Altitude Grill,Tipe KulinerBarat,"
                  Altitude The Plaza, Lantai 46
                  Jl. MH Thamrin Kav. 28 - 30, Thamrin, Jakarta Pusat
                ",https://pergikuliner.com/restaurants/jakarta/altitude-grill-thamrin,"PembayaranTunai, Visa, Master, Debet","""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (12:00 - 21:00)</time>>","Wifi,Area merokok,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Ruang VIP,Vegetarian",021 29922448,4.62,"4.6,5.0,4.3,4.5,4.7"
Locaahands,Tipe KulinerKafe,"
                  
                  Jl. Opak No. 39, Wonokromo, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/locaahands-wonokromo,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (07:00 - 22:00)</time>>","Wifi,Area merokok,Area outdoor,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Ruang VIP,Vegetarian",083825207576,4.48,"4.6,4.6,4.3,4.5,4.5"
Mr. Fox,Tipe KulinerBarat,"
                  Tunjungan Plaza 5, Lantai Upper Ground
                  Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/mr-fox-tegalsari,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Vegetarian",031 5464055,4.55,"4.8,4.8,4.8,4.7"
Redback Specialty Coffee,Tipe KulinerKafe,"
                  Golf Graha Famili dan Country Club 
                  Jl. Raya Golf Graha Famili Blok K, Dukuh Pakis, Surabaya
                ",https://pergikuliner.com/restaurants/surabaya/redback-specialty-coffee-dukuh-pakis-2,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (06:00 - 22:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",031 99148377,4.39,"4.5,4.7,4.1,4.3,4.4"
Sushi Masa,Tipe KulinerJepang,"
                  Grey Building, Lantai 3
                  Jl. Tuna Raya No. 5, Penjaringan, Jakarta Utara
                ",https://pergikuliner.com/restaurants/jakarta/sushi-masa-penjaringan,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Jumat (11:30 - 13:30, 17:30 - 20:30), Sabtu - Minggu (11:00 - 20:30)</time>>","Area merokok,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Wifi,Pesan antar,Area outdoor,24 Jam,Vegetarian",021 29263561,4.28,"4.7,4.2,4.2,4.4"
Shaburi & Kintan Buffet,Tipe KulinerJepang,"
                  Grand Metropolitan Bekasi, Lantai Upper Ground
                  Jl. KH. Noer Ali, Bekasi Selatan, Bekasi
                ",https://pergikuliner.com/restaurants/bekasi/shaburi-dan-kintan-buffet-bekasi-selatan,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 29579992,4.58,"4.7,4.4,4.6,4.6,4.6"
Holycow! STEAKHOUSE by Chef Afit,Tipe KulinerBarat,"
                  Food Lab
                  Jl. Kapten Tendean No. 41, Mampang, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/holycow-steakhouse-by-chef-afit-mampang,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",081316070950,4.7,"4.9,4.6,4.6,4.8,4.6"
Warung Leko,Tipe KulinerIndonesia,"
                  Plaza Senayan, Lantai Basement, The FoodHall
                  Jl. Asia Afrika, Senayan, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/warung-leko-senayan-2,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",081322073624,4.5,"4.6,4.3,4.4,4.6,4.7"
Steak 21 Buffet,Tipe KulinerBarat,"
                  Lotte Shopping Avenue, Lantai 3
                  Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/steak-21-buffet-karet-kuningan,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 21:00)</time>>","Wifi,100% Halal,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 29888895,4.44,"4.6,4.1,4.3,4.8,4.4"
Leisola by Aljazeerah,"Tipe KulinerIndonesia,Barat","
                  Al-Jazeerah, Lantai 3
                  Jl. Raden Saleh No. 62, Cikini, Menteng, Jakarta Pusat
                ",https://pergikuliner.com/restaurants/jakarta/leisola-by-aljazeerah-cikini,Kapasitas:  150 kursi,"""Tunai,Visa,Master,Debet""","<bound method PageElement.get_text of <div class=""promotional-text"">Leisola by Aljazeerah is an modern Indonesian restaurant manage by Aljazeerah Restaurant &amp; Lounge. The team behind this restaurant embarked on an exotic culinary expedition, traveling across the archipelago to learn about the indigenous cooking methods, originally ingredients, and the authentic flavours of the cuisines.

The culinary collective also developed engaging relationships with many local taste tribes by small scale producers around Indonesia. And also we take so<span class=""moreelipses"">...</span><span class=""morecontent""><span>me of International cuisine like Italian food, Steak house, and French Pastries for serving our International guest based on our sustain market which is already running before in Aljazeerah Restaurant &amp; Lounge. As a result of these efforts, both the menu and ambience at Leisola by Aljazeerah will genuine the flavours that accurately reflect Indonesia’s Fusion Taste.</span>  <a class=""morelink"" href="""">selengkapnya</a></span></div>>","
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (09:00 - 23:00)</time>>","Wifi,Pesan antar,Area merokok,100% Halal,Ruang VIP,Bisa reservasi,Area parkir","Area outdoor,24 Jam,Alkohol,Vegetarian",081210446644,4.44,"4.5,4.5,4.0,4.7,4.6"
Maison Tremel,Tipe KulinerDessert,"
                  Plaza Indonesia, Lantai 5
                  Jl. MH Thamrin, Thamrin, Jakarta Pusat
                ",https://pergikuliner.com/restaurants/jakarta/maison-tremel-thamrin,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (10:00 - 22:00)</time>>","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",08179851258,4.36,"4.6,4.2,4.6,4.6"
NIX Kitchen & Bar,Tipe KulinerBarat,"
                  Burza Tower, Lantai 9 - 10
                  Jl. Pantai Indah Selatan I, Pantai Indah Kapuk, Penjaringan, Jakarta Utara
                ",https://pergikuliner.com/restaurants/jakarta/nix-kitchen-dan-bar-pantai-indah-kapuk,Kapasitas:  80 kursi,"""Tunai,Visa,Master,Debet""","<bound method PageElement.get_text of <div class=""promotional-text"">Serving delightful drinks, Asian fusion bites and the best view on the highest level at PIK!
(Restoran tertinggi di PIK)</div>>","
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Kamis (12:00 - 21:00), Jumat - Minggu (12:00 - 24:00)</time>>","Wifi,Area merokok,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Ruang VIP,Vegetarian",082388688688,4.35,"4.4,4.6,4.0,4.5,4.3"
Tucano's Churrascaria Brasileira,Tipe KulinerBrasil,"
                  Apartemen Pavilion Sudirman, Lantai Ground
                  Jl. KH Mas Mansyur, Tanah Abang, Jakarta Pusat
                ",https://pergikuliner.com/restaurants/jakarta/tucano-s-churrascaria-brasileira-tanah-abang,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 21:00)</time>>","Wifi,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",021 29023398,4.31,"4.6,4.3,4.0,4.4,4.3"
Jenderal Kopi Nusantara Buwas,Tipe KulinerKafe,"
                  
                  Jl. LLRE Martadinata No. 219, Riau, Bandung
                ",https://pergikuliner.com/restaurants/bandung/jenderal-kopi-nusantara-buwas-riau,Cabang: ya,"""Tunai,Visa,Master,Debet,Go-pay,Ovo""",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (09:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,Vegetarian",08119216869,4.37,"4.3,4.6,4.6,4.5"
Toodz House,Tipe KulinerKafe,"
                  
                  Jl. Cipete Raya No. 79, Fatmawati, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/toodz-house-fatmawati,Cabang: ya,"""Tunai,Visa,Master,Debet""",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Kamis (08:00 - 23:00), Jumat (13:00 - 23:00), Sabtu - Minggu (08:00 - 23:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 75904015,4.23,"4.4,4.3,4.3,4.1,4.1"
House Of Yuen - Fairmont Jakarta,Tipe KulinerChina,"
                  Fairmont Jakarta, Lantai 3
                  Jl. Asia Afrika No. 8, Senayan, Jakarta Selatan
                ",https://pergikuliner.com/restaurants/jakarta/house-of-yuen-fairmont-jakarta-senayan,"PembayaranTunai, Visa, Master, Debet","""Tunai,Visa,Master,Debet""",,"
                  Di atas Rp. 200.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (11:00 - 12:30, 18:00 - 23:00)</time>>","Wifi,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Vegetarian",021 29703333,4.52,"4.5,4.9,4.6,4.8"
Karena Rasa,Tipe KulinerKafe,"
                  Perumnas 1
                  Jl. Komodo Raya No. 300, Bekasi Selatan, Bekasi
                ",https://pergikuliner.com/restaurants/bekasi/karena-rasa-bekasi-selatan,"PembayaranTunai, Debet","""Tunai,Debet""",,"
                  Di bawah Rp. 50.000 /orang
                ","<bound method PageElement.get_text of <time itemprop=""openingHours"">Senin - Minggu (07:00 - 21:00)</time>>","Wifi,Area merokok,Area outdoor,100% Halal,Area parkir","Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",081288483640,4.52,"4.6,4.1,4.9,4.7,4.4"
